Time,SYS_3_PSZ SP-DINING SYS-3 FLR-1 SCH-B HPLCMT-SOUTH ZN:DesPer 1:Des Heat Mass Flow [kg/s],SYS_3_PSZ SP-DINING SYS-3 FLR-1 SCH-B HPLCMT-SOUTH ZN:DesPer 1:Des Heat Cap [W],SYS_3_PSZ SP-DINING SYS-3 FLR-1 SCH-B HPLCMT-SOUTH ZN:DesPer 1:Des Cool Mass Flow [kg/s],SYS_3_PSZ SP-DINING SYS-3 FLR-1 SCH-B HPLCMT-SOUTH ZN:DesPer 1:Des Sens Cool Cap [W],SYS_3_PSZ SP-DINING SYS-3 FLR-1 SCH-B HPLCMT-SOUTH ZN:DesPer 1:Des Tot Cool Cap [W],SYS_3_PSZ SP-DINING SYS-3 FLR-1 SCH-B HPLCMT-SOUTH ZN:DesPer 2:Des Heat Mass Flow [kg/s],SYS_3_PSZ SP-DINING SYS-3 FLR-1 SCH-B HPLCMT-SOUTH ZN:DesPer 2:Des Heat Cap [W],SYS_3_PSZ SP-DINING SYS-3 FLR-1 SCH-B HPLCMT-SOUTH ZN:DesPer 2:Des Cool Mass Flow [kg/s],SYS_3_PSZ SP-DINING SYS-3 FLR-1 SCH-B HPLCMT-SOUTH ZN:DesPer 2:Des Sens Cool Cap [W],SYS_3_PSZ SP-DINING SYS-3 FLR-1 SCH-B HPLCMT-SOUTH ZN:DesPer 2:Des Tot Cool Cap [W],SYS_3_PSZ SP-KITCHEN SYS-3 FLR-1 SCH-B HPLCMT-NORTH ZN:DesPer 1:Des Heat Mass Flow [kg/s],SYS_3_PSZ SP-KITCHEN SYS-3 FLR-1 SCH-B HPLCMT-NORTH ZN:DesPer 1:Des Heat Cap [W],SYS_3_PSZ SP-KITCHEN SYS-3 FLR-1 SCH-B HPLCMT-NORTH ZN:DesPer 1:Des Cool Mass Flow [kg/s],SYS_3_PSZ SP-KITCHEN SYS-3 FLR-1 SCH-B HPLCMT-NORTH ZN:DesPer 1:Des Sens Cool Cap [W],SYS_3_PSZ SP-KITCHEN SYS-3 FLR-1 SCH-B HPLCMT-NORTH ZN:DesPer 1:Des Tot Cool Cap [W],SYS_3_PSZ SP-KITCHEN SYS-3 FLR-1 SCH-B HPLCMT-NORTH ZN:DesPer 2:Des Heat Mass Flow [kg/s],SYS_3_PSZ SP-KITCHEN SYS-3 FLR-1 SCH-B HPLCMT-NORTH ZN:DesPer 2:Des Heat Cap [W],SYS_3_PSZ SP-KITCHEN SYS-3 FLR-1 SCH-B HPLCMT-NORTH ZN:DesPer 2:Des Cool Mass Flow [kg/s],SYS_3_PSZ SP-KITCHEN SYS-3 FLR-1 SCH-B HPLCMT-NORTH ZN:DesPer 2:Des Sens Cool Cap [W],SYS_3_PSZ SP-KITCHEN SYS-3 FLR-1 SCH-B HPLCMT-NORTH ZN:DesPer 2:Des Tot Cool Cap [W]
00:10:00,1.407748E+00,3.471821E+04,1.407748E+00,7.719402E+03,5.900947E+03,1.407748E+00,1.011430E+05,1.407748E+00,0.000000E+00,0.000000E+00,2.021761E-01,4.986116E+03,3.085483E-01,2.284337E+03,2.101371E+03,2.021761E-01,1.452582E+04,2.021761E-01,0.000000E+00,0.000000E+00
00:20:00,1.407748E+00,3.488938E+04,1.407748E+00,7.548237E+03,5.727283E+03,1.407748E+00,1.011430E+05,1.407748E+00,0.000000E+00,0.000000E+00,2.021761E-01,5.010698E+03,3.054932E-01,2.225992E+03,2.037363E+03,2.021761E-01,1.452582E+04,2.021761E-01,0.000000E+00,0.000000E+00
00:30:00,1.407748E+00,3.506054E+04,1.407748E+00,7.377072E+03,5.553599E+03,1.407748E+00,1.011430E+05,1.407748E+00,0.000000E+00,0.000000E+00,2.021761E-01,5.035281E+03,3.024793E-01,2.168102E+03,1.973440E+03,2.021761E-01,1.452582E+04,2.021761E-01,0.000000E+00,0.000000E+00
00:40:00,1.407748E+00,3.523171E+04,1.407748E+00,7.205907E+03,5.379915E+03,1.407748E+00,1.011430E+05,1.407748E+00,0.000000E+00,0.000000E+00,2.021761E-01,5.059863E+03,2.994997E-01,2.110591E+03,1.910767E+03,2.021761E-01,1.452582E+04,2.021761E-01,0.000000E+00,0.000000E+00
00:50:00,1.407748E+00,3.540287E+04,1.407748E+00,7.034742E+03,5.206231E+03,1.407748E+00,1.011430E+05,1.407748E+00,0.000000E+00,0.000000E+00,2.021761E-01,5.084445E+03,2.965480E-01,2.053387E+03,1.849514E+03,2.021761E-01,1.452582E+04,2.021761E-01,0.000000E+00,0.000000E+00
01:00:00,1.407748E+00,3.557404E+04,1.407748E+00,6.863577E+03,5.032545E+03,1.407748E+00,1.011430E+05,1.407748E+00,0.000000E+00,0.000000E+00,2.021761E-01,5.109027E+03,2.936158E-01,1.996399E+03,1.789327E+03,2.021761E-01,1.452582E+04,2.021761E-01,0.000000E+00,0.000000E+00
01:10:00,1.407748E+00,3.568815E+04,1.407748E+00,6.749467E+03,4.916771E+03,1.407748E+00,1.011430E+05,1.407748E+00,0.000000E+00,0.000000E+00,2.021761E-01,5.125415E+03,2.436987E-01,1.432899E+03,1.195328E+03,2.021761E-01,1.452582E+04,2.021761E-01,0.000000E+00,0.000000E+00
01:20:00,1.407748E+00,3.580226E+04,1.407748E+00,6.635357E+03,4.800975E+03,1.407748E+00,1.011430E+05,1.407748E+00,0.000000E+00,0.000000E+00,2.021761E-01,5.141803E+03,2.021761E-01,9.529483E+02,6.895003E+02,2.021761E-01,1.452582E+04,2.021761E-01,0.000000E+00,0.000000E+00
01:30:00,1.407748E+00,3.591637E+04,1.407748E+00,6.521247E+03,4.685177E+03,1.407748E+00,1.011430E+05,1.407748E+00,0.000000E+00,0.000000E+00,2.021761E-01,5.158191E+03,2.021761E-01,9.365602E+02,6.728698E+02,2.021761E-01,1.452582E+04,2.021761E-01,0.000000E+00,0.000000E+00
01:40:00,1.407748E+00,3.603048E+04,1.407748E+00,6.407137E+03,4.569402E+03,1.407748E+00,1.011430E+05,1.407748E+00,0.000000E+00,0.000000E+00,2.021761E-01,5.174580E+03,2.021761E-01,9.201721E+02,6.562426E+02,2.021761E-01,1.452582E+04,2.021761E-01,0.000000E+00,0.000000E+00
